,0
28387,en
9737,en
568,en
9804,en
9331,en
9350,en
424,en
10830,en
500,en
10548,en
539,en
235,en
2323,en
578,en
579,en
201445,en
978,en
3597,en
597,en
1366,en
606,en
15144,en
506,en
2109,en
1367,en
1371,en
1374,en
1375,en
11123,en
6522,en
509,en
9032,en
10576,en
9377,en
9013,en
11005,en
3558,en
13342,en
462,en
27995,en
1359,en
3536,en
7443,en
10860,en
10562,en
1597,en
1493,en
111,en
19094,en
21056,en
9602,en
9493,en
11352,en
12150,en
5175,en
18885,en
1535,en
11422,en
11397,en
8386,en
855,en
17130,en
9334,en
557,en
9637,en
9533,en
65,en
7303,en
10708,en
310,en
8961,en
36759,en
650,en
21059,en
508,en
11509,en
10023,en
5966,en
13476,en
9352,en
13572,en
9384,en
38,en
9541,en
11024,en
14442,en
10096,en
7131,en
12153,en
13398,ja
21871,en
558,en
80,en
8699,en
1538,en
10762,en
5137,en
11823,en
13969,en
10555,en
13416,en
18701,en
8849,en
11109,en
1677,en
2288,en
4254,hi
670,ko
70,en
1901,en
921,en
787,en
272,en
10048,en
31977,hi
14134,hi
8814,en
49220,sv
25,en
4348,en
6795,en
254,en
22975,en
33081,hi
11283,en
8998,en
7518,en
9072,en
15049,fr
9788,en
43410,hi
9958,en
1271,en
559,en
1858,en
8363,en
5174,en
5176,en
4982,en
15250,en
8079,hi
13636,en
9502,en
8909,en
14438,en
14560,en
20829,en
30508,de
13475,en
16345,hi
8373,en
11322,en
17335,en
19908,en
19899,en
15772,hi
22894,en
16453,en
27561,en
32092,fr
132744,hi
23483,en
4252,hi
37861,en
20662,en
37821,en
32823,en
20352,en
27205,en
27576,en
37951,hi
37735,en
86233,en
41733,en
46503,en
42888,en
41283,en
39451,en
42297,en
41630,en
50546,en
58496,en
50359,en
50456,en
62215,en
45523,en
55721,en
51608,ko
44945,en
44912,en
38356,en
22907,en
38317,en
50544,en
47261,es
62835,en
64720,en
49527,en
59961,en
57214,en
73723,en
64688,en
72105,en
82633,en
84188,en
71679,en
76492,en
78604,de
138122,hi
85446,en
97630,en
82654,en
56338,hi
89492,en
83588,en
103198,en
75612,en
54138,en
82700,en
65521,hi
68724,en
93456,en
117251,en
157354,en
136400,en
138832,en
158999,en
83899,en
109451,en
109424,en
85889,en
107846,en
80274,en
152532,en
176983,ja
64686,en
204082,en
110415,ko
185008,hi
250769,en
226857,en
157336,en
225574,en
82703,en
209403,en
256561,en
203739,en
76649,en
232672,en
187017,en
91314,en
171372,en
15419,hi
244786,en
159090,hi
83721,zh
225886,en
256274,en
49017,en
206487,en
242512,en
280795,hi
256311,de
164251,en
263614,en
48186,en
205775,en
284293,en
303742,en
282297,en
273895,en
227306,en
284296,en
51017,en
297222,hi
253065,ko
201088,en
87101,en
86705,en
277432,hi
102517,en
39442,en
76341,en
253266,en
321594,en
318225,en
318044,en
308457,en
302376,de
241251,en
256591,en
241554,en
265712,ja
112454,en
327225,tl
277685,en
228973,en
221732,ja
221731,ja
186610,en
256961,en
293863,en
145221,en
256057,es
318256,en
190940,hi
222936,en
40777,hi
188222,en
257344,en
286407,en
250653,en
328111,en
337876,hi
256962,en
341176,en
69785,hi
70006,en
247645,hi
211672,en
261023,en
300685,en
250574,en
111027,en
169821,en
203801,en
324670,en
348892,hi
307081,en
320132,cn
39229,ja
39230,ja
348035,en
223566,ar
308084,en
330037,hi
354544,en
50715,en
352173,hi
283587,en
218974,en
81481,ko
84858,hi
159824,en
314402,fr
360341,en
18060,cn
10257,cn
22193,cn
335866,en
257445,en
335392,hi
294963,en
363413,hi
291343,de
45002,hi
306952,en
364089,en
323679,en
339274,hi
355020,uk
284288,hi
364067,en
336882,no
347969,en
367735,en
279690,en
140300,en
16157,ja
372981,en
347201,ja
317442,ja
370665,hi
102632,hi
276905,en
376047,hi
334531,en
263341,en
323677,en
267860,en
20132,hi
19624,hi
148265,te
228355,hi
21463,ta
23776,te
384487,tl
347689,en
375012,fa
302688,en
378137,en
387054,en
204506,es
369557,en
290595,en
270909,es
333669,en
316152,en
153518,en
373072,en
355008,en
390520,en
392891,en
280690,hi
381071,en
293670,ko
396292,en
389053,en
301804,en
318121,en
356334,en
398535,hi
172817,hi
353571,en
404022,en
325789,en
373453,en
369033,en
356626,fr
376426,en
393184,ar
336455,en
376482,en
313297,en
339927,en
391629,hi
402672,hi
339792,en
336736,en
184341,en
352492,en
390782,en
408546,en
364615,es
393729,fr
339419,en
410199,en
376228,en
416867,en
345170,en
411009,en
295886,en
408508,en
407806,en
334517,en
335796,en
368993,en
136799,en
376389,zh
417026,en
291356,en
421854,en
360029,en
374440,en
407559,en
397243,en
413471,en
393445,hi
411023,en
408619,en
381685,es
62439,ko
425498,en
85944,en
429126,en
401060,en
335797,en
413543,hi
397717,en
379441,en
388399,en
421060,tl
262841,en
324542,en
394689,en
404791,sv
26461,en
365037,en
274326,en
374205,ja
423122,en
416211,ar
429238,en
433244,en
424661,en
20837,en
432959,en
425591,en
403605,id
295693,en
363807,en
398818,en
414190,en
414425,en
428449,en
437752,en
413882,hi
435351,en
430780,en
269198,de
415358,hi
57005,zh
397093,pt
385114,es
120624,ms
401104,en
346650,en
439107,en
432883,en
425003,en
416290,en
425841,en
427416,hu
327953,en
362988,en
371084,en
393443,en
430826,en
444513,en
446048,en
392207,es
440767,en
428687,en
401743,en
429450,ko
137116,en
376134,en
449674,en
172705,id
426265,en
419700,en
268531,en
424488,en
435707,es
271404,en
451709,en
390054,en
383585,en
411405,en
426253,en
430161,es
14395,hi
339403,en
387426,en
295588,en
402582,en
80178,da
448448,en
349138,bn
433247,en
409421,ja
354287,en
454361,en
456193,en
433878,en
458310,en
459295,en
436994,ko
457962,en
436343,hu
428612,en
437311,es
441881,hi
460822,en
412105,en
399170,en
432615,en
415086,en
433084,en
353491,en
417489,fr
378236,en
351460,en
137180,hi
461634,en
339692,en
442087,en
462108,en
60378,de
423453,fr
426272,en
432789,en
404604,hi
466987,en
441906,hi
455714,th
432976,en
432787,en
433251,en
372343,en
428584,yi
301355,en
430474,en
348555,ca
379149,en
298250,en
468366,en
346671,en
455656,en
474155,en
415842,en
408245,en
473812,en
472424,en
244237,hi
433252,en
419479,en
452507,en
292111,es
343674,en
457917,es
473277,en
478054,en
409520,de
477331,en
423611,es
468033,tl
448444,en
480409,en
398175,en
441701,es
471014,en
479263,en
474569,en
396493,en
382750,ar
347629,en
473408,en
399404,en
431530,en
396371,en
422128,en
67073,es
473637,es
476631,en
355547,en
483104,en
479269,en
478548,en
470616,en
484413,en
429805,es
439058,en
441875,hi
400617,en
413780,ar
473415,en
490928,en
485504,en
473313,en
430447,ja
424510,en
449755,en
300668,en
487156,en
483010,en
492166,en
354861,en
400106,en
403608,id
437036,es
474433,en
419472,en
430043,en
488623,ko
485774,en
488669,en
497520,en
433310,en
401371,en
431072,en
30086,ta
363343,hi
276928,hi
303904,hi
467106,hi
479918,hi
384521,en
462883,en
505159,en
505175,hi
490818,en
447856,hi
450489,en
493655,ru
507729,en
199928,en
506072,en
419478,en
506767,en
503877,es
508864,ar
502483,en
493201,en
499186,en
497522,en
497720,en
486334,en
486331,en
502122,en
476926,en
500634,en
403068,en
430446,en
495193,en
456750,en
502166,en
510073,en
508933,en
440888,it
411038,ar
512153,ko
502682,en
419635,en
451480,en
502140,en
451563,en
504314,ml
516341,en
515841,fr
497916,nl
488621,ko
399131,en
452015,ko
465109,en
499319,en
519804,en
478625,tl
507143,en
400579,en
520594,en
463088,en
396806,en
454983,en
490003,en
384677,en
69654,ta
521041,en
507256,en
472805,en
511449,en
518045,en
510258,en
372782,zh
456287,ta
520587,de
491584,ko
481432,it
521512,en
417643,en
470906,en
525814,en
500664,en
467952,en
463053,en
511785,en
354279,en
440471,en
493101,en
489994,en
475210,en
530154,hi
529531,en
517298,es
531736,fr
490001,en
532162,en
456154,fr
518764,zh
474051,en
522393,en
311307,en
531949,en
496320,hi
437380,es
375107,en
503619,en
462919,en
489852,hi
532374,en
492719,ja
215248,te
426558,hi
466282,en
412988,en
440161,en
375588,en
439079,en
30508,de
429415,en
535340,en
511815,en
508018,es
518452,en
502143,en
507505,es
518880,es
441592,es
454652,en
538523,en
13345,cn
424121,en
347375,en
395841,en
490000,en
502154,en
513223,es
502183,en
538604,en
542694,en
502298,en
438590,en
489932,en
426426,es
523777,en
478100,fr
504603,fr
437029,es
538362,it
468362,en
454227,en
511791,en
420426,ja
472451,en
452731,en
543562,as
517975,hi
426618,en
519035,en
549443,pt
474354,en
462469,en
449992,id
537996,en
424139,en
300681,en
550248,en
496283,tl
481375,en
458342,en
387827,es
507618,en
504561,en
21835,cn
489927,en
83061,en
527664,es
544431,en
550302,en
554175,en
514575,es
521935,en
405774,en
517596,en
545634,en
203552,en
515916,nl
440444,en
531122,pt
339380,en
555850,en
538002,en
544295,en
501013,en
529210,es
467673,fr
556803,en
524087,zh
558341,en
459965,fr
527435,en
525041,en
472734,en
548162,en
524738,id
487476,fr
520370,en
553649,en
503902,id
513574,no
554954,es
563708,en
438650,en
563710,en
489982,is
569547,en
565255,en
467649,te
487509,en
498249,fr
456616,de
399361,en
571451,en
563766,it
543774,en
449459,en
463684,en
